pays,zip,city,id
FR,01590,DORTAN,dom_cities_137
FR,01500,DOUVRES,dom_cities_138
FR,01250,DROM,dom_cities_139
FR,01160,DRUILLAT,dom_cities_140
FR,01130,ECHALLON,dom_cities_141
FR,01170,ECHENEVEX,dom_cities_142
FR,01340,ETREZ,dom_cities_143
FR,01230,EVOSGES,dom_cities_144
FR,01800,FARAMANS,dom_cities_145
FR,01480,FAREINS,dom_cities_146
FR,01550,FARGES,dom_cities_147
FR,01570,FEILLENS,dom_cities_148
FR,01210,FERNEY VOLTAIRE,dom_cities_149
FR,01350,FLAXIEU,dom_cities_150
FR,01340,FOISSIAT,dom_cities_151
FR,01090,FRANCHELEINS,dom_cities_152
FR,01480,FRANS,dom_cities_153
FR,01140,GARNERANS,dom_cities_154
FR,01090,GENOUILLEUX,dom_cities_155
FR,01100,GEOVREISSET,dom_cities_156
FR,01460,GEOVREISSIAT,dom_cities_157
FR,01250,GERMAGNAT,dom_cities_158
FR,01170,GEX,dom_cities_159
FR,01130,GIRON,dom_cities_160
FR,01190,GORREVOD,dom_cities_161
FR,01260,GRAND ABERGEMENT LE,dom_cities_162
FR,01250,GRAND CORENT,dom_cities_163
FR,01290,GRIEGES,dom_cities_164
FR,01220,GRILLY,dom_cities_165
FR,01100,GROISSIAT,dom_cities_166
FR,01680,GROSLEE,dom_cities_167
FR,01090,GUEREINS,dom_cities_168
FR,01250,HAUTECOURT ROMANECHE,dom_cities_169
FR,01110,HAUTEVILLE LOMPNES,dom_cities_170
FR,01110,HOSTIAS,dom_cities_171
FR,01260,HOTONNES,dom_cities_172
FR,01140,ILLIAT,dom_cities_173
FR,01200,INJOUX GENISSIAT,dom_cities_174
FR,01680,INNIMOND,dom_cities_175
FR,01430,IZENAVE,dom_cities_176
FR,01580,IZERNORE,dom_cities_177
FR,01300,IZIEU,dom_cities_178
FR,01480,JASSANS RIOTTIER,dom_cities_179
FR,01250,JASSERON,dom_cities_180
FR,01340,JAYAT,dom_cities_181
FR,01250,JOURNANS,dom_cities_182
FR,01800,JOYEUX,dom_cities_183
FR,01640,JUJURIEUX,dom_cities_184
FR,01450,LABALME,dom_cities_185
FR,01150,LAGNIEU,dom_cities_186
FR,01290,LAIZ,dom_cities_187
FR,01130,LALLEYRIAT,dom_cities_188
FR,01200,LANCRANS,dom_cities_189
FR,01430,LANTENAY,dom_cities_190
FR,01330,LAPEYROUSE,dom_cities_191
FR,01350,LAVOURS,dom_cities_192
FR,01200,LEAZ,dom_cities_193
FR,01410,LELEX,dom_cities_194
FR,01240,LENT,dom_cities_195
FR,01560,LESCHEROUX,dom_cities_196
FR,01150,LEYMENT,dom_cities_197
FR,01450,LEYSSARD,dom_cities_198
FR,01420,LHOPITAL,dom_cities_199
FR,01680,LHUIS,dom_cities_200
FR,01260,LOCHIEU,dom_cities_201
FR,01680,LOMPNAS,dom_cities_202
FR,01260,LOMPNIEU,dom_cities_203
FR,01360,LOYETTES,dom_cities_204
FR,01090,LURCY,dom_cities_205
FR,01300,MAGNIEU,dom_cities_206
FR,01430,MAILLAT,dom_cities_207
FR,01340,MALAFRETAZ,dom_cities_208
FR,01560,MANTENAY MONTLIN,dom_cities_209
FR,01570,MANZIAT,dom_cities_210
FR,01851,MARBOZ,dom_cities_211
FR,01680,MARCHAMP,dom_cities_212
FR,01300,MARIGNIEU,dom_cities_213
FR,01240,MARLIEUX,dom_cities_214
FR,01340,MARSONNAS,dom_cities_215
FR,01100,MARTIGNAT,dom_cities_216
FR,01600,MASSIEUX,dom_cities_217
FR,01300,MASSIGNIEU DERIVES,dom_cities_218
FR,01580,MATAFELON GRANGES,dom_cities_219
FR,01370,MEILLONNAS,dom_cities_220
FR,01450,MERIGNAT,dom_cities_221
FR,01480,MESSIMY SUR SAONE,dom_cities_222
FR,01800,MEXIMIEUX,dom_cities_223
FR,01660,MEZERIAT,dom_cities_224
FR,01410,MIJOUX,dom_cities_225
FR,01390,MIONNAY,dom_cities_226
FR,01700,MIRIBEL,dom_cities_227
FR,01600,MISERIEUX,dom_cities_228
FR,01140,MOGNENEINS,dom_cities_229
FR,01250,MONTAGNAT,dom_cities_230
FR,01470,MONTAGNIEU,dom_cities_231
FR,01200,MONTANGES,dom_cities_232
FR,01090,MONTCEAUX,dom_cities_233
FR,01310,MONTCET,dom_cities_234
FR,01800,MONTELLIER LE,dom_cities_235
FR,01390,MONTHIEUX,dom_cities_236
FR,01120,MONTLUEL,dom_cities_237
FR,01090,MONTMERLE SURSAONE,dom_cities_238
FR,01310,MONTRACOL,dom_cities_239
FR,01460,MONTREAL LA CLUSE,dom_cities_240
FR,01340,MONTREVEL ENBRESSE,dom_cities_241
FR,01300,MURS ET GELIGNIEUX,dom_cities_242
FR,01460,NANTUA,dom_cities_243
